42.5625,-0.0625,-0.0625,0.6875,0.375,0.0625,-0.375,0.3125,-0.0625,38.5625,-0.0625,-0.0625,0.625,0.3125,0.4375,0.125,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,0.6875,0.1875,-8.0625,-0.375,0.5,-0.0625,38.5625,-0.0625,-0.0625,0.625,0.375,0.25,0,0.125,-0.0625,1
42.5625,-0.0625,-0.0625,0.9375,0.1875,0,-0.4375,0.5,-0.0625,38.5625,-0.0625,-0.0625,0.625,0.375,0.25,0,0.1875,-0.0625,1
42.625,-0.0625,-0.0625,0.9375,0,0.0625,-0.3125,0.5625,-0.0625,38.5625,-0.0625,-0.0625,0.5,0.25,0.25,0,0.25,-0.0625,1
42.625,-0.0625,-0.0625,0.875,0.125,-0.0625,-0.4375,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.375,0.1875,0.3125,0,0.1875,-0.0625,1
42.625,-0.0625,-0.0625,0.6875,0.5,0,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.1875,0.1875,0.3125,0,0.1875,-0.0625,1
42.625,-0.0625,-0.0625,0.375,0.375,0,-0.375,0.5625,-0.0625,38.5625,-0.0625,-0.0625,0.1875,0.125,0.25,0,0.25,-0.0625,1
42.625,-0.0625,-0.0625,0.375,0.375,0,-0.375,0.375,0,38.5625,-0.0625,-0.0625,0.4375,-0.0625,-0.0625,0.125,0.0625,-0.0625,1
42.625,-0.0625,-0.0625,0.5625,0.1875,-0.0625,-0.375,0.375,0,38.5625,-0.0625,-0.0625,0.5,0,0.1875,0.1875,0.25,-0.0625,1
42.625,-0.0625,-0.0625,0.625,0.1875,-0.0625,-0.375,0.4375,-0.0625,38.5625,-0.0625,-0.0625,0.375,0,0.3125,0.1875,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,0.5,0.3125,0.0625,-0.3125,0.5,-0.0625,38.5625,-0.0625,-0.0625,0.375,0,0.3125,0,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,0.25,0.1875,-0.0625,-0.3125,0.6875,-0.0625,38.5625,-0.0625,-0.0625,-0.0625,-0.25,0.375,0,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,-0.25,0.0625,0,-0.375,0.75,-0.0625,38.5625,-0.0625,-0.0625,-0.25,-0.4375,0.375,0,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,-0.5625,0.125,-0.0625,-0.5,0.6875,-0.0625,38.5625,-0.0625,-0.0625,-0.4375,-0.4375,0.1875,0,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,-0.5625,0.125,-0.0625,-0.5,0.6875,-0.0625,38.5625,-0.0625,-0.0625,-0.25,-0.1875,0.1875,-0.0625,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,-0.4375,0,0,-0.625,0.5625,-0.0625,38.5625,-0.0625,-0.0625,0,0.0625,0.25,0.0625,0.25,-0.0625,1
42.625,-0.0625,-0.0625,-0.25,0.125,0.0625,-0.5625,0.625,-0.0625,38.5625,-0.0625,-0.0625,-0.125,0.5625,0.1875,0.0625,0.375,-0.0625,1
42.625,-0.0625,-0.0625,-0.125,0.0625,0.375,-0.375,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.125,0.5625,0.1875,0.25,0.125,-0.0625,1
42.625,-0.0625,-0.0625,-0.4375,0.0625,0.625,-0.375,0.75,-0.0625,38.5625,-0.0625,-0.0625,-0.3125,0.8125,0.125,0.25,0.125,-0.0625,1
42.625,-0.0625,-0.0625,-0.5,-0.25,0.5625,-0.4375,0.5,-0.0625,38.5625,-0.0625,-0.0625,-0.5625,0.75,0.1875,0,0.3125,-0.0625,1
42.625,-0.0625,-0.0625,-0.5,-0.25,0.5625,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,-0.375,0.625,0.125,0,0.1875,-0.0625,1
42.625,-0.0625,-0.0625,-0.6875,-0.1875,0.4375,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,-0.375,0.625,0.25,-0.0625,0.125,-0.0625,1
42.625,-0.0625,-0.0625,-0.75,-0.0625,0.1875,-0.5625,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.125,0.5625,0.5,0,0.0625,-0.0625,1
42.5625,-0.0625,-0.0625,-0.625,0.0625,0.125,-0.3125,0.6875,-0.0625,38.5625,-0.0625,-0.0625,0.25,0.375,0.375,-0.125,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.3125,0.6875,-0.0625,38.5625,-0.0625,-0.0625,0.25,0.375,0.375,0,0.3125,-0.0625,1
42.5625,-0.0625,-0.0625,0.375,0.5,-0.0625,-0.25,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.5625,0.25,0.3125,0,0.3125,-0.0625,1
42.5625,-0.0625,-0.0625,0.4375,0.375,-0.0625,-0.375,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.4375,0,0.25,0.0625,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,0.0625,-0.0625,-0.0625,-0.375,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.1875,-0.0625,-0.0625,0.0625,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.3125,-0.1875,-0.0625,-0.4375,0.625,-0.0625,38.5625,-0.0625,-0.0625,-0.0625,-0.25,0.25,0.0625,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.5625,-0.125,0.0625,-0.25,0.625,-0.0625,38.5625,-0.0625,-0.0625,-0.125,-0.375,0.25,0,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.5625,-0.125,0.0625,-0.25,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.1875,-0.0625,-0.0625,0,0.5,-0.0625,1
42.5625,-0.0625,-0.0625,-0.5625,-0.4375,0.125,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.1875,-0.0625,-0.0625,-0.1875,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.0625,-0.5625,0.375,-0.5625,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.375,-0.0625,-0.0625,-0.0625,0.4375,-0.0625,1
42.5625,-0.0625,-0.0625,0,-0.0625,-0.0625,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.375,-0.0625,-0.0625,0,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,-0.0625,0,0.5625,-0.5,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.125,-0.0625,-0.0625,0,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,-0.125,0,0.5,-0.625,0.4375,-0.0625,38.5625,-0.0625,-0.0625,0,0.1875,0.375,0.0625,0.1875,-0.0625,1
42.5625,-0.0625,-0.0625,-0.125,0,0.5,-0.625,0.4375,-0.0625,38.5625,-0.0625,-0.0625,-0.1875,0.1875,0.4375,0,0.1875,-0.0625,1
42.5625,-0.0625,-0.0625,-0.25,0.1875,0.75,-0.5,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.25,0.25,0.375,0.0625,0.3125,-0.0625,1
42.5625,-0.0625,-0.0625,-0.5625,0.1875,0.75,-0.375,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.25,0.4375,0.375,0.0625,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,-0.625,0.375,0.625,-0.375,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.25,0.4375,0.375,0.125,0.0625,-0.0625,1
42.5625,-0.0625,-0.0625,-0.4375,0.1875,0.75,-0.3125,0.6875,-8.0625,38.5625,-0.0625,-0.0625,-0.25,0.4375,0.5,0.125,0.0625,-0.0625,1
42.5625,-0.0625,-0.0625,-0.75,0.4375,0.8125,-0.25,0.5,-0.0625,38.5625,-0.0625,-0.0625,-0.3125,0.5625,0.375,0.25,0.375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.75,0.4375,0.8125,-0.25,0.5,-0.0625,38.5625,-0.0625,-0.0625,-0.375,0.3125,0.375,0.1875,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,-1.0625,0.6875,0.375,-0.25,0.5625,-0.0625,38.5625,-0.0625,-0.0625,-0.625,0.625,0.25,0,0.5,-0.0625,1
42.5,-0.0625,-0.0625,-1.375,0.75,0.4375,-0.5625,0.75,-0.0625,38.5625,-0.0625,-0.0625,-0.9375,0.6875,0.125,-0.0625,0.4375,-0.0625,1
42.5,-0.0625,-0.0625,-1.625,0.5,0.4375,-0.5625,0.75,-0.0625,38.5625,-0.0625,-0.0625,-0.9375,0.5,0.1875,0,0.375,-0.0625,1
42.5,-0.0625,-0.0625,-1.5,0.125,0.0625,-0.4375,0.8125,-0.0625,38.5,-0.0625,-0.0625,-1,0.375,0.0625,-0.125,0.375,-0.0625,1
42.5,-0.0625,-0.0625,-1.75,0.25,0.0625,-0.5625,0.75,-0.0625,38.5,-0.0625,-0.0625,-1,0.375,0.0625,-0.125,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-1.8125,0.3125,-0.0625,-0.4375,0.625,-0.0625,38.5,-0.0625,-0.0625,-0.875,0.5,0.3125,-0.125,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-1.625,0.6875,0.0625,-0.5625,0.8125,-0.0625,38.5,-0.0625,-0.0625,-0.9375,0.6875,0.25,0,0.5625,-0.0625,1
42.4375,-0.0625,-0.0625,-1.1875,0.6875,0.4375,-0.4375,0.75,-0.0625,38.5,-0.0625,-0.0625,-0.6875,0.6875,0.4375,0.0625,0.625,-0.0625,1
42.4375,-0.0625,-0.0625,-1.1875,0.6875,0.4375,-0.4375,0.75,-0.0625,38.5,-0.0625,-0.0625,-0.3125,0.625,0.375,0,0.5625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.875,0.75,0.6875,-0.5,0.8125,-0.0625,38.5,-0.0625,-0.0625,0,0.5625,0.375,0,0.4375,-0.0625,1
42.4375,-0.0625,-0.0625,-0.375,0.75,0.5625,-0.5,0.8125,-0.0625,38.5,-0.0625,-0.0625,0.125,0.3125,0.3125,0.0625,0.25,-0.0625,1
42.4375,-0.0625,-0.0625,-0.25,0.75,0.625,-0.4375,0.625,-0.0625,38.5,-0.0625,-0.0625,0.125,0.3125,0.3125,0.0625,0.25,-0.0625,1
42.4375,-0.0625,-0.0625,0.0625,0.5625,0.25,-0.5,0.6875,-0.0625,38.5,-0.0625,-0.0625,0.125,0.4375,0.125,-0.0625,0.125,-0.0625,1
42.4375,-0.0625,-0.0625,-0.1875,0.8125,0.1875,-0.5,0.5625,-0.0625,38.5,-0.0625,-0.0625,0.125,0.4375,0.125,0.0625,0.0625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.3125,0.75,-0.0625,-0.5,0.625,-0.0625,38.5,-0.0625,-0.0625,0,0.8125,-0.0625,0.0625,0.0625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.5625,0.8125,-0.0625,-0.4375,0.5625,-0.0625,38.5,-0.0625,-0.0625,-0.125,0.6875,-0.0625,-0.0625,0.25,-0.0625,1
42.4375,-0.0625,-0.0625,-0.5,0.8125,-0.0625,-0.375,0.5,-0.0625,38.5,-0.0625,-0.0625,-0.125,0.8125,-0.0625,0,0.1875,-0.0625,1
42.4375,-0.0625,-0.0625,-0.3125,0.5625,-0.0625,-0.375,0.625,-0.0625,38.5,-0.0625,-0.0625,0,0.6875,-0.0625,-0.125,0.1875,-0.0625,1
42.4375,-0.0625,-0.0625,0.125,0.4375,-0.0625,-0.5,0.5625,-0.0625,38.5,-0.0625,-0.0625,0.25,0.375,-0.0625,0,0.25,-0.0625,1
42.4375,-0.0625,-0.0625,0.25,0.875,-0.0625,-0.4375,0.6875,-0.0625,38.5,-0.0625,-0.0625,0.375,0.625,-0.0625,0,0.3125,-0.0625,1
42.4375,-0.0625,-0.0625,0.3125,0.75,-0.0625,-0.3125,0.8125,-0.0625,38.5,-0.0625,-0.0625,0.375,0.5625,-0.0625,0.0625,0.4375,-0.0625,1
42.4375,-0.0625,-0.0625,0.3125,0.75,-0.0625,-0.1875,0.75,-0.0625,38.5,-0.0625,-0.0625,0,0.4375,-0.0625,0.25,0.4375,-0.0625,1
42.4375,-0.0625,-0.0625,-0.4375,0.1875,-0.0625,-0.3125,0.5,-0.0625,38.5,-0.0625,-0.0625,-0.25,0.5,-0.0625,0.3125,0.375,-0.0625,1
42.4375,-0.0625,-0.0625,-0.4375,0.1875,-0.0625,-0.3125,0.5,-0.0625,38.5,-0.0625,-0.0625,-0.3125,0.1875,-0.0625,-0.0625,0.0625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.5,0.1875,-0.0625,-0.5,0.5,-0.0625,38.5,-0.0625,-0.0625,-0.5,0.1875,-0.0625,0.0625,0.125,-0.0625,1
42.5,-0.0625,-0.0625,-0.5625,0.6875,-0.0625,-0.5,0.5,-0.0625,38.5,-0.0625,-0.0625,-0.6875,0.25,-0.0625,-0.125,0.25,-0.0625,1
42.5,-0.0625,-0.0625,-0.9375,0.6875,-0.0625,-0.5625,0.625,-0.0625,38.5,-0.0625,-0.0625,-0.75,0.3125,-0.0625,-0.125,0.25,-0.0625,1
42.4375,-0.0625,-0.0625,-1,0.25,-0.0625,-0.625,0.6875,-0.0625,38.5,-0.0625,-0.0625,-0.75,0.3125,-0.0625,0,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-0.9375,0.1875,-0.0625,-0.5,0.875,-0.0625,38.5,-0.0625,-0.0625,-0.75,0.4375,-0.0625,0,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-0.8125,0.5,-0.0625,-0.5,0.75,-0.0625,38.5,-0.0625,-0.0625,-0.5,0.5625,-0.0625,-0.0625,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-0.6875,0.5625,-0.0625,-0.4375,0.875,-0.0625,38.5,-0.0625,-0.0625,-0.4375,0.625,-0.0625,0,0.625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.6875,0.5625,-0.0625,-0.5,1,-0.0625,38.5,-0.0625,-0.0625,-0.25,0.875,-0.0625,-0.0625,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,-0.75,0.8125,-0.0625,-0.5,1,-0.0625,38.5,-0.0625,-0.0625,0.0625,1,-0.0625,0,0.5625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.6875,0.9375,-0.0625,-0.375,0.9375,-0.0625,38.5,-0.0625,-0.0625,0.375,1.0625,-0.0625,0,0.5625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.25,0.625,-0.0625,-0.5,0.9375,-0.0625,38.5,-0.0625,-0.0625,0.375,1.0625,-0.0625,0,0.5625,-0.0625,1
42.4375,-0.0625,-0.0625,-0.0625,0.625,-0.0625,-0.375,0.9375,-0.0625,38.5,-0.0625,-0.0625,0.4375,1.125,-0.0625,0,0.3125,-0.0625,1
42.4375,-0.0625,-0.0625,0.0625,1.0625,-0.0625,-0.3125,0.9375,-0.0625,38.5,-0.0625,-0.0625,0.5,1.125,-0.0625,0.125,0.5,-0.0625,1
42.4375,-0.0625,-0.0625,0.25,1.4375,-0.0625,-0.125,0.875,-0.0625,38.5,-0.0625,-0.0625,0.6875,0.9375,-0.0625,0.125,0.4375,-0.0625,1
42.5,-0.0625,-0.0625,0.25,1.4375,-0.0625,-0.125,0.875,-0.0625,38.5,-0.0625,-0.0625,0.875,0.75,-0.0625,0.125,0.3125,-0.0625,1
42.5,-0.0625,-0.0625,0.5625,1.4375,-0.0625,-0.25,0.5625,-0.0625,38.5,-0.0625,-0.0625,0.875,0.75,-0.0625,0.125,0.3125,-0.0625,1
42.5,-0.0625,-0.0625,0.4375,1.1875,-0.0625,-0.4375,0.8125,-0.0625,38.5,-0.0625,-0.0625,0.75,0.875,-0.0625,0,0.4375,-0.0625,1
42.5,-0.0625,-0.0625,0.0625,1.625,-0.0625,-0.4375,0.8125,-0.0625,38.5,-0.0625,-0.0625,0.375,0.75,-0.0625,0,0.4375,-0.0625,1
42.5,-0.0625,-0.0625,0.0625,1.625,-0.0625,-0.5625,0.8125,-0.0625,38.5,-0.0625,-0.0625,0.3125,0.9375,-0.0625,0,0.5,-0.0625,1
42.5,-0.0625,-0.0625,-0.375,1.6875,-0.0625,-0.6875,0.9375,-0.0625,38.5,-0.0625,-0.0625,0,1.25,-0.0625,0,0.5625,-0.0625,1
42.5,-0.0625,-0.0625,-0.5,1.3125,-0.0625,-0.6875,0.9375,-0.0625,38.5625,-0.0625,-0.0625,0.3125,1.3125,-0.0625,-0.375,0.4375,-0.0625,1
42.5625,-0.0625,-0.0625,-0.0625,1.125,-0.0625,-0.8125,0.6875,-0.0625,38.5625,-0.0625,-0.0625,0.3125,1.3125,-0.0625,-0.25,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,0.375,1.5,-0.0625,-0.6875,0.625,-0.0625,38.5625,-0.0625,-0.0625,0.75,1.5,-0.0625,-0.25,0.25,-0.0625,1
42.5625,-0.0625,-0.0625,0.375,1.5,-0.0625,-0.4375,0.6875,-0.0625,38.5625,-0.0625,-0.0625,1.3125,1.6875,-0.0625,-0.1875,0.3125,-0.0625,1
42.5625,-0.0625,-0.0625,1.375,2.125,-0.0625,-0.375,0.9375,-0.0625,38.5625,-0.0625,-0.0625,1.75,2,-0.0625,0,0.4375,-0.0625,1
42.5625,-0.0625,-0.0625,1.375,2.125,-0.0625,-0.4375,0.9375,-0.0625,38.625,-0.0625,-0.0625,1.9375,1.9375,-0.0625,0,0.5,-0.0625,1
42.625,-0.0625,-0.0625,1.6875,2.4375,-0.0625,-0.4375,0.9375,-0.0625,38.625,-0.0625,-0.0625,1.9375,1.9375,-0.0625,0,0.6875,-0.0625,1
42.625,-0.0625,-0.0625,1.5,2.6875,-0.0625,-0.5625,0.875,-0.0625,38.625,-0.0625,-0.0625,1.6875,1.875,-0.0625,0,0.6875,-0.0625,1
42.625,-0.0625,-0.0625,1.5,2.6875,-0.0625,-0.5625,0.875,-0.0625,38.625,-0.0625,-0.0625,1.6875,1.75,-0.0625,0,0.5625,-0.0625,1
42.6875,-0.0625,-0.0625,1.125,2.5625,-0.0625,-0.5625,0.8125,-0.0625,38.6875,-0.0625,-0.0625,1.625,1.75,-0.0625,0.125,0.25,-0.0625,1
42.6875,-0.0625,-0.0625,0.9375,2.3125,-0.0625,-0.375,0.6875,-0.0625,38.6875,-0.0625,-0.0625,1.625,1.75,-0.0625,0.0625,0.125,-0.0625,1
42.6875,-0.0625,-0.0625,0.8125,2.3125,-0.0625,-0.4375,0.5,-0.0625,38.6875,-0.0625,-0.0625,1.5,1.875,-0.0625,0.0625,0.125,-0.0625,1
42.6875,-0.0625,-0.0625,0.6875,2.1875,-0.0625,-0.5,0.5625,-0.0625,38.6875,-0.0625,-0.0625,1.375,1.9375,-0.0625,0,0.25,-0.0625,1
42.75,-0.0625,-0.0625,0.6875,2.1875,-0.0625,-0.5,0.5625,-0.0625,38.75,-0.0625,-0.0625,1.5,2.6875,-0.0625,0,0.1875,-0.0625,1
42.75,-0.0625,-0.0625,0.6875,2.125,-0.0625,-0.5,0.4375,-0.0625,38.75,-0.0625,-0.0625,1.5,2.6875,-0.0625,0,0.1875,-0.0625,1
42.75,-0.0625,-0.0625,0.6875,2.125,-0.0625,-0.5625,0.375,-0.0625,38.75,-0.0625,-0.0625,1.75,3.125,-0.0625,0,0.1875,-0.0625,1
42.75,-0.0625,-0.0625,1.125,2.375,-0.0625,-0.5625,0.375,-0.0625,38.75,-0.0625,-0.0625,1.6875,3.8125,-0.0625,0,0.25,-0.0625,1
42.75,-0.0625,-0.0625,1.125,2.625,-0.0625,-0.6875,0.4375,-0.0625,38.75,-0.0625,-0.0625,1.5625,4.5,-0.0625,0,0,-0.0625,1
42.8125,-0.0625,-0.0625,1.125,2.25,-0.0625,-0.5625,0.25,-0.0625,38.75,-0.0625,-0.0625,1.5625,4.5,-0.0625,0.125,-0.0625,-0.0625,1
